Date,Home,Away,Result
2022-05-04,Manaton & Moretonhampstead,Ilsington,Manaton & Moretonhampstead won by 20 runs
2022-05-24,Dartanians,Manaton & Moretonhampstead,Dartanians won by 44 runs
2022-05-25,Ilsington,South Brent,South Brent won by 47 runs
2022-05-31,Dartanians,Ilsington,Dartanians won by 16 runs
2022-06-01,Manaton & Moretonhampstead,South Brent,South Brent won by 48 runs
2022-06-08,Buckfastleigh,Ilsington,Buckfastleigh won by 51 runs
2022-06-14,Dartanians,Buckfastleigh,Buckfastleigh won by 32 runs
2022-06-14,South Brent,Manaton & Moretonhampstead,South Brent won by 8 wickets
2022-06-21,Ilsington,Dartanians,
2022-06-22,Buckfastleigh,Manaton & Moretonhampstead,
2022-06-29,Ilsington,Manaton & Moretonhampstead,
2022-07-05,Dartanians,South Brent,
2022-07-06,Manaton & Moretonhampstead,Buckfastleigh,
2022-07-12,Manaton & Moretonhampstead,Dartanians,
2022-07-20,Ilsington,Buckfastleigh,
2022-07-26,Buckfastleigh,Dartanians,
2022-08-10,South Brent,Buckfastleigh,
2022-08-16,South Brent,Dartanians,
2022-08-24,South Brent,Ilsington,
2022-08-31,Buckfastleigh,South Brent,
